short_code,standard_code,stock_name,security_group_code,stock_base_price,regular_market_unit,after_hours_market_unit,trading_halt_yn,liquidation_yn,management_stock_yn,market_warning_code,market_warning_risk_yn,dishonest_disclosure_yn,bypass_listing_yn,lock_division_code,par_value_change_code,capital_increase_code,margin_rate,credit_order_yn,credit_period,prev_day_volume,stock_par_value,stock_listing_date,listed_shares_thousand,capital,settlement_month,public_offering_price,preferred_stock_code,short_sale_overheat_yn,unusual_rise_yn,krx300_stock_yn,sales,operating_profit,ordinary_profit,net_income,roe,base_year_month,prev_day_market_cap_billion,company_credit_limit_exceed_yn,collateral_loan_yn,securities_lending_yn
052960,KR7052960002,태양3C,ST,000003900,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000001026,000000000500,20230126,000000000004887,000000000002443539000,12,,0,,N,,000000905,000000031,000000042,00039,000000000,20241231,000000190,N,N,N
059180,KR7059180000,엔더블유시,ST,000004820,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000000000,000000000500,20251222,000000000005314,000000000002657045000,12,,0,,N,,000000262,000000018,000000013,00011,000000000,20241231,000000256,N,N,N
066830,KR7066830001,제노텍,ST,000001074,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000008768,000000000500,20160718,000000000005667,000000000002833590000,12,,0,,N,,000000025,-00000010,-00000008,-0008,-00000007,20241231,000000060,N,N,N
076340,KR7076340009,지에이이노더스,ST,000004700,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000000237,000000000500,20150518,000000000004871,000000000002435730000,12,,0,,N,,000001806,000000060,000000186,00146,000000000,20241231,000000228,N,N,N
086220,KR7086220001,광동헬스바이오,ST,000001385,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000000040,000000000500,20150709,000000000012687,000000000006343932500,12,,0,,N,,000000655,-00000010,-00000020,-0020,-00000012,20241231,000000175,N,N,N
092590,KR7092590009,럭스피아,ST,000000757,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000000593,000000000500,20151030,000000000007291,000000000003645549000,12,,0,,N,,000000179,-00000011,-00000011,-0009,-00000006,20241231,000000055,N,N,N
093510,KR7093510006,엔지브이아이,ST,000000919,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000003390,000000000500,20190930,000000000006020,000000000003010000000,12,,0,,N,,000000006,-00000007,-00000008,-0008,-36100000,20241231,000000055,N,N,N
102950,KR7102950003,아하,ST,000001524,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000004112,000000000500,20221130,000000000013121,000000000006923823000,12,,0,,N,,000000562,000000024,000000012,00004,000000000,20241231,000000199,N,N,N
103660,KR7103660007,씨앗,ST,000000899,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000000026,000000000500,20150622,000000000006017,000000000003008735500,12,,0,,N,,000000279,000000025,-00000003,-0003,000000000,20241231,000000054,N,N,N
112190,KR7112190004,KC산업,ST,000001184,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000002149,000000000500,20160531,000000000027204,000000000013602444500,12,,0,,N,,000000843,000000095,000000006,00005,000000001,20241231,000000322,N,N,N
114920,KR7114920002,대주이엔티,ST,000002745,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000000279,000000000500,20130701,000000000003469,000000000001734750000,12,,0,,N,,000000878,000000081,000000050,00032,000000000,20241231,000000095,N,N,N
116100,KR7116100009,태양기계,ST,000000582,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000000010,000000000500,20130701,000000000007439,000000000003719993000,12,,0,,N,,000000351,000000021,000000011,00008,000000005,20241231,000000043,N,N,N
121060,KR7121060008,유니포인트,ST,000000527,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000000017,000000000500,20141024,000000000005981,000000000002990835000,12,,0,,N,,000000543,000000002,000000002,00003,000000005,20241231,000000031,N,N,N
122830,KR7122830003,원포유,ST,000001970,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000030045,000000000100,20201023,000000000032751,000000000003275198500,12,,0,,N,,000000100,000000028,000000029,00025,000000016,20241231,000000645,N,N,N
